===================================================================================================
 CLUSTERING RESULTS (Adjusted Rand Index)
===================================================================================================
[Standard  ] Dim:    2 | KMeans: 0.0064 | Spec: 0.0073 | Agg: 0.0070 | DB: 0.0131
[Attributed] Dim:    2 | KMeans: 0.0005 | Spec: 0.0021 | Agg: 0.0005 | DB: 0.0111
[Standard  ] Dim:    4 | KMeans: 0.0028 | Spec: 0.0015 | Agg: 0.0105 | DB: 0.0052
[Attributed] Dim:    4 | KMeans: 0.0137 | Spec: 0.0057 | Agg: 0.0200 | DB: 0.0129
[Standard  ] Dim:    8 | KMeans: 0.0062 | Spec: 0.0039 | Agg: 0.0065 | DB: 0.0005
[Attributed] Dim:    8 | KMeans: 0.0131 | Spec: 0.0109 | Agg: 0.0125 | DB: 0.0124
[Standard  ] Dim:   16 | KMeans: 0.0070 | Spec: 0.0058 | Agg: 0.0028 | DB: 0.0002
[Attributed] Dim:   16 | KMeans: 0.0095 | Spec: 0.0079 | Agg: 0.0065 | DB: 0.0121
[Standard  ] Dim:   32 | KMeans: 0.0129 | Spec: -0.0000 | Agg: 0.0097 | DB: 0.0009
[Attributed] Dim:   32 | KMeans: 0.0105 | Spec: 0.0098 | Agg: 0.0065 | DB: 0.0119
[Standard  ] Dim:   64 | KMeans: 0.0119 | Spec: -0.0000 | Agg: 0.0065 | DB: 0.0009
[Attributed] Dim:   64 | KMeans: 0.0110 | Spec: 0.0053 | Agg: 0.0065 | DB: 0.0115
[Standard  ] Dim:  128 | KMeans: 0.0081 | Spec: 0.0016 | Agg: 0.0065 | DB: 0.0015
[Attributed] Dim:  128 | KMeans: 0.0145 | Spec: 0.0084 | Agg: 0.0065 | DB: 0.0118
[Standard  ] Dim:  256 | KMeans: 0.0057 | Spec: 0.0014 | Agg: 0.0065 | DB: 0.0009
[Attributed] Dim:  256 | KMeans: 0.0139 | Spec: 0.0137 | Agg: 0.0065 | DB: 0.0118
[Standard  ] Dim:  512 | KMeans: 0.0069 | Spec: 0.0008 | Agg: 0.0065 | DB: 0.0010
[Attributed] Dim:  512 | KMeans: 0.0096 | Spec: 0.0064 | Agg: 0.0065 | DB: 0.0121
[Standard  ] Dim: 1024 | KMeans: 0.0074 | Spec: 0.0006 | Agg: 0.0065 | DB: 0.0013
[Attributed] Dim: 1024 | KMeans: 0.0106 | Spec: 0.0050 | Agg: 0.0065 | DB: 0.0122
