===================================================================================================
 CLUSTERING RESULTS (Adjusted Rand Index)
===================================================================================================
[Standard  ] Dim:    2 | KMeans: -0.0137 | Spec: 0.0311 | Agg: -0.0462 | DB: -0.0389
[Attributed] Dim:    2 | KMeans: -0.0050 | Spec: -0.0021 | Agg: -0.0178 | DB: -0.0188
[Standard  ] Dim:    4 | KMeans: 0.1144 | Spec: 0.1221 | Agg: 0.1045 | DB: -0.0345
[Attributed] Dim:    4 | KMeans: 0.1755 | Spec: -0.0213 | Agg: 0.0517 | DB: -0.0081
[Standard  ] Dim:    8 | KMeans: 0.1822 | Spec: -0.0525 | Agg: 0.0653 | DB: -0.0191
[Attributed] Dim:    8 | KMeans: 0.1653 | Spec: 0.1312 | Agg: 0.3265 | DB: -0.0385
[Standard  ] Dim:   16 | KMeans: 0.1066 | Spec: -0.0342 | Agg: 0.0797 | DB: 0.0047
[Attributed] Dim:   16 | KMeans: 0.0318 | Spec: 0.0885 | Agg: 0.2497 | DB: -0.0278
[Standard  ] Dim:   32 | KMeans: 0.0456 | Spec: -0.0549 | Agg: 0.0568 | DB: 0.0047
[Attributed] Dim:   32 | KMeans: 0.0376 | Spec: 0.1229 | Agg: 0.0707 | DB: -0.0278
[Standard  ] Dim:   64 | KMeans: 0.0273 | Spec: 0.1114 | Agg: 0.0137 | DB: 0.0047
[Attributed] Dim:   64 | KMeans: 0.0184 | Spec: 0.1483 | Agg: 0.0775 | DB: -0.0278
[Standard  ] Dim:  128 | KMeans: 0.0508 | Spec: -0.0448 | Agg: 0.0453 | DB: 0.0006
[Attributed] Dim:  128 | KMeans: 0.0203 | Spec: 0.1755 | Agg: 0.3180 | DB: -0.0278
[Standard  ] Dim:  256 | KMeans: 0.0456 | Spec: 0.0548 | Agg: -0.0407 | DB: 0.0047
[Attributed] Dim:  256 | KMeans: 0.0183 | Spec: 0.1396 | Agg: 0.1229 | DB: -0.0278
[Standard  ] Dim:  512 | KMeans: 0.0346 | Spec: 0.2231 | Agg: 0.1039 | DB: 0.0047
[Attributed] Dim:  512 | KMeans: 0.0227 | Spec: 0.1483 | Agg: 0.1304 | DB: -0.0278
[Standard  ] Dim: 1024 | KMeans: 0.0516 | Spec: 0.1418 | Agg: 0.0525 | DB: 0.0047
[Attributed] Dim: 1024 | KMeans: 0.0220 | Spec: 0.1483 | Agg: 0.2679 | DB: -0.0278
